Address,City,State,Median Household Income
"2700 BLOCK OF NILES AVE, St. Joseph, MI",St. Joseph,MI,
"EAST MAY STREET AND LAVETTE AVENUE, Benton Harbor, MI",Benton Harbor,MI,"$26,592"
"1900 BLOCK OF UNION AVE, Benton Harbor, MI",Benton Harbor,MI,"$26,592"
"2300 BLOCK OF RIVERBEND DRIVE, Saint Joseph, MI, ",,,
"JAKWAY AVE AND FAIRPLAIN AVE, Benton Harbor, MI",Benton Harbor,MI,"$26,592"
"3500 BLOCK FINCH DR, TROY, MI",TROY,MI,"$115,639"
"100 BLOCK W BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"100 BLOCK W BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"E WATTLES RD&LIVERNOIS RD, TROY, MI",TROY,MI,"$115,639"
"2800 BLOCK CHARTER, TROY, MI",TROY,MI,"$115,639"
"400 BLOCK KIRK LN, TROY, MI",TROY,MI,"$115,639"
"100 BLOCK E LONG LAKE RD, TROY, MI",TROY,MI,"$115,639"
"3000 BLOCK TROY, TROY, MI",TROY,MI,"$115,639"
"3900 BLOCK MESA DR, TROY, MI",TROY,MI,"$115,639"
"N I75 NO BIGBEAVER&W BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"ROCHESTER RD&E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"ROCHESTER RD&E WATTLES RD, TROY, MI",TROY,MI,"$115,639"
"900 BLOCK VANDERPOOL ST, TROY, MI",TROY,MI,"$115,639"
"800 BLOCK E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"900 BLOCK LONGFELLOW DR, TROY, MI",TROY,MI,"$115,639"
"CIVIC CENTER&TOWN CENTER DR, TROY, MI",TROY,MI,"$115,639"
"2800 BLOCK CHARTER, TROY, MI",TROY,MI,"$115,639"
"800 BLOCK E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"2800 BLOCK CHARTER, TROY, MI",TROY,MI,"$115,639"
"1000 BLOCK E WATTLES RD, TROY, MI",TROY,MI,"$115,639"
"ROCHESTER RD&CHARRINGTON DR, TROY, MI",TROY,MI,"$115,639"
"700 BLOCK HARRIS, TROY, MI",TROY,MI,"$115,639"
"700 BLOCK E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"E BIG BEAVER RD&ROCHESTER RD, TROY, MI",TROY,MI,"$115,639"
"500 BLK W BIG BEAVER TROY MI 48084 RD, PONTIAC, MI",PONTIAC,MI,"$40,307"
"500 BLK W BIG BEAVER TROY MI 48084 RD, OSD, MI",OSD,MI,
"700 BLOCK E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"800 BLOCK E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"3800 BLOCK ROCHESTER RD, TROY, MI",TROY,MI,"$115,639"
"N I75 NO BIGBEAVER&W BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"900 BLOCK PORTSMOUTH RD, TROY, MI",TROY,MI,"$115,639"
"800 BLOCK E BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"W WATTLES RD&RUTHLAND, TROY, MI",TROY,MI,"$115,639"
"2600 BLOCK LIVERNOIS RD, TROY, MI",TROY,MI,"$115,639"
"4300 BLOCK RENEE DR, TROY, MI",TROY,MI,"$115,639"
"4000 BLOCK THREE OAKS BLVD, TROY, MI",TROY,MI,"$115,639"
"3800 BLOCK JENNINGS ST, TROY, MI",TROY,MI,"$115,639"
"100 BLOCK E LONG LAKE RD, TROY, MI",TROY,MI,"$115,639"
"3100 BLOCK LIVERNOIS RD, TROY, MI",TROY,MI,"$115,639"
"200 BLOCK W. BIG BEAVER RD., TROY, MI",TROY,MI,"$115,639"
"3600 BLOCK MILLAY DR, TROY, MI",TROY,MI,"$115,639"
"2700 BLOCK CHARTER, TROY, MI",TROY,MI,"$115,639"
"ROCHESTER RD&CHARRINGTON DR, TROY, MI",TROY,MI,"$115,639"
"200 BLOCK KIRTS BLVD, TROY, MI",TROY,MI,"$115,639"
"200 BLOCK W BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"500 BLK W BIG BEAVER RD, TROY, MI",TROY,MI,"$115,639"
"ROCHESTER RD. AT URBANCREST DR., TROY, MI",TROY,MI,"$115,639"
"100 BLOCK GOYEAU ST, Windsor, ON",Windsor,ON,
"200 BLOCK RANDOLPH PL, Windsor, ON",Windsor,ON,
"500 BLOCK BRIDGE AV, Windsor, ON",Windsor,ON,
"500 BLOCK BRIDGE AV, Windsor, ON",Windsor,ON,
"900 BLOCK WYANDOTTE ST W, Windsor, ON",Windsor,ON,
"700 BLOCK CRAWFORD AV, Windsor, ON",Windsor,ON,
"1700 BLOCK UNIVERSITY AV W, Windsor, ON",Windsor,ON,
"RIVERSIDE DR E AT OUELLETTE AV, Windsor, ON",Windsor,ON,
"100 BLOCK PARK ST W, Windsor, ON",Windsor,ON,
"100 BLOCK CARON AV, Windsor, ON",Windsor,ON,
"E ADAMS AVE & WOODWARD AVE, Detroit, MI",Detroit,MI,
"E GRAND RIVER AVE & FARMER ST, Detroit, MI",Detroit,MI,
"E ADAMS AVE & WITHERELL ST, Detroit, MI",Detroit,MI,
"WITHERELL ST & BROADWAY ST, Detroit, MI",Detroit,MI,
"WASHINGTON BLVD & PARK AVE, Detroit, MI",Detroit,MI,
"TIMES SQ & CASS AVE, Detroit, MI",Detroit,MI,
"E JEFFERSON AVE & AUDITORIUM DR, Detroit, MI",Detroit,MI,
"200 BLOCK OUELLETTE AV, Windsor, ON",Windsor,ON,
"TIMES SQ & CASS AVE, Detroit, MI",Detroit,MI,
"PETERBORO ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"2100 BLOCK UNIVERSITY AV W [GRAB & GO MINI MART], Windsor, ON",Windsor,ON,
"WOODWARD AVE & WITHERELL ST, Detroit, MI",Detroit,MI,
"GRISWOLD ST & STATE ST, Detroit, MI",Detroit,MI,
"E ELIZABETH ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"E JEFFERSON AVE & BRUSH ST, Detroit, MI",Detroit,MI,
"UNIVERSITY AV E AT OUELLETTE AV, Windsor, ON",Windsor,ON,
"1600 BLOCK UNIVERSITY AV W, Windsor, ON",Windsor,ON,
"GRISWOLD ST & CLIFFORD ST, Detroit, MI",Detroit,MI,
"BAGLEY ST & 3RD ST, Detroit, MI",Detroit,MI,
"MICHIGAN AVE & CASS AVE, Detroit, MI",Detroit,MI,
"200 BLOCK OUELLETTE AV, Windsor, ON",Windsor,ON,
"BAGLEY ST & 3RD ST, Detroit, MI",Detroit,MI,
"2ND/FISHER CUTOFF & 2ND ST, Detroit, MI",Detroit,MI,
"ATWATER DR & CIVIC CENTER DR, Detroit, MI",Detroit,MI,
"1ST ST & W LAFAYETTE BLVD, Detroit, MI",Detroit,MI,
"SPROAT ST & CLIFFORD ST, Detroit, MI",Detroit,MI,
"MONROE ST & SAINT ANTOINE ST, Detroit, MI",Detroit,MI,
"MICHIGAN AVE & ELEVENTH ST, Detroit, MI",Detroit,MI,
"CLIFFORD ST & JOHN R ST, Detroit, MI",Detroit,MI,
"WOODWARD AVE & W STIMSON ST, Detroit, MI",Detroit,MI,
"MICHIGAN AVE & CASS AVE, Detroit, MI",Detroit,MI,
"RANDOLPH ST & MONROE ST, Detroit, MI",Detroit,MI,
"LEVERETTE ST & ELEVENTH ST, Detroit, MI",Detroit,MI,
"E LAFAYETTE ST & BEAUBIEN ST, Detroit, MI",Detroit,MI,
"900 BLOCK RIVERSIDE DR W, Windsor, ON",Windsor,ON,
"S M 10 SERVICE DRIVE & GRAND RIVER AVE, Detroit, MI",Detroit,MI,
"W OUTER DR & AVON AVE, Detroit, MI",Detroit,MI,
"SOUTHFIELD SERVICE DRIVE & W 7 MILE RD, Detroit, MI",Detroit,MI,
"SAINT MARTINS AVE & SHAFTSBURY AVE, Detroit, MI",Detroit,MI,
"CURTIS ST & FERGUSON ST, Detroit, MI",Detroit,MI,
"SUNDERLAND RD & GROVE ST, Detroit, MI",Detroit,MI,
"FAUST AVE & CURTIS ST, Detroit, MI",Detroit,MI,
"SANTA MARIA ST & HEYDEN ST, Detroit, MI",Detroit,MI,
"GROVE ST & GREENVIEW AVE, Detroit, MI",Detroit,MI,
"FLORENCE ST & STAHELIN AVE, Detroit, MI",Detroit,MI,
"FERGUSON ST & W 7 MILE RD, Detroit, MI",Detroit,MI,
"CURTIS ST & GREENVIEW AVE, Detroit, MI",Detroit,MI,
"SANTA MARIA ST & MURRAY HILL ST, Detroit, MI",Detroit,MI,
"SOUTHFIELD SERVICE DRIVE & W 7 MILE RD, Detroit, MI",Detroit,MI,
"W 7 MILE RD & GREENVIEW AVE, Detroit, MI",Detroit,MI,
"LINDSAY ST & PEMBROKE AVE, Detroit, MI",Detroit,MI,
"TROJAN ST & ASHTON AVE, Detroit, MI",Detroit,MI,
"ARTESIAN ST & GRAND RIVER AVE, Detroit, MI",Detroit,MI,
"MARGARETA ST & SHAFTSBURY AVE, Detroit, MI",Detroit,MI,
"GREENVIEW AVE & FAUST AVE, Detroit, MI",Detroit,MI,
"MARGARETA ST & WARWICK ST, Detroit, MI",Detroit,MI,
"PEMBROKE AVE & ARCHDALE ST, Detroit, MI",Detroit,MI,
"ARCHDALE ST & KEELER ST, Detroit, MI",Detroit,MI,
"RUTHERFORD ST & W 7 MILE RD, Detroit, MI",Detroit,MI,
"RUTHERFORD ST & W 7 MILE RD, Detroit, MI",Detroit,MI,
"SOUTHFIELD SERVICE DRIVE & W OUTER DR, Detroit, MI",Detroit,MI,
"PICKFORD ST & ASHTON AVE, Detroit, MI",Detroit,MI,
"SANTA CLARA AVE & WESTMORELAND RD, Detroit, MI",Detroit,MI,
"EDINBOROUGH RD & VASSAR AVE, Detroit, MI",Detroit,MI,
"WESTMORELAND RD & W 7 MILE RD, Detroit, MI",Detroit,MI,
"LINDSAY ST & CURTIS ST, Detroit, MI",Detroit,MI,
"VASSAR AVE & BILTMORE ST, Detroit, MI",Detroit,MI,
"PREVOST ST & W MCNICHOLS RD, Detroit, MI",Detroit,MI,
"W 7 MILE RD & PREVOST ST, Detroit, MI",Detroit,MI,
"FENKELL ST & PENROD ST, Detroit, MI",Detroit,MI,
"WESTMORELAND RD & W MCNICHOLS RD, Detroit, MI",Detroit,MI,
"SANTA CLARA AVE & PLAINVIEW AVE, Detroit, MI",Detroit,MI,
"GROVE ST & EVERGREEN RD, Detroit, MI",Detroit,MI,
"GROVE ST & GREENVIEW AVE, Detroit, MI",Detroit,MI,
"SHAFTSBURY AVE & VASSAR AVE, Detroit, MI",Detroit,MI,
"CLARITA ST & EVERGREEN RD, Detroit, MI",Detroit,MI,
"WESTMORELAND RD & CLARITA ST, Detroit, MI",Detroit,MI,
"GRANDVILLE AVE & SANTA CLARA AVE, Detroit, MI",Detroit,MI,
"GRANDVILLE AVE & W OUTER DR, Detroit, MI",Detroit,MI,
"FLORENCE ST & EVERGREEN RD, Detroit, MI",Detroit,MI,
"PILGRIM ST & LINDSAY ST, Detroit, MI",Detroit,MI,
"MIDLAND ST & ASHTON RD, Detroit, MI",Detroit,MI,
"PREVOST ST & W MCNICHOLS RD, Detroit, MI",Detroit,MI,
"VASSAR AVE & SAINT MARYS ST, Detroit, MI",Detroit,MI,
"22100 BLOCK BERNARD AVE, TAYLOR, MI",TAYLOR,MI,
"20200 BLOCK EMPIRE HWY, TAYLOR, MI",TAYLOR,MI,
"13000 BLOCK PARDEE RD, TAYLOR, MI",TAYLOR,MI,
"21200 BLOCK EUREKA RD, TAYLOR, MI",TAYLOR,MI,
"10400 BLOCK ISLAND LAKE DR, TAYLOR, MI",TAYLOR,MI,
"20200 BLOCK NORTHLINE RD, TAYLOR, MI",TAYLOR,MI,
"10700 BLOCK KATHERINE AVE, TAYLOR, MI",TAYLOR,MI,
"22300 BLOCK NORTHLINE RD, TAYLOR, MI",TAYLOR,MI,
"20200 BLOCK NORTHLINE RD, TAYLOR, MI",TAYLOR,MI,
"10700 BLOCK KATHERINE ST, TAYLOR, MI",TAYLOR,MI,
"20400 BLOCK SUPERIOR RD, TAYLOR, MI",TAYLOR,MI,
"12800 BLOCK JACKSON AVE, TAYLOR, MI",TAYLOR,MI,
"11200 BLOCK PARDEE RD, TAYLOR, MI",TAYLOR,MI,
"12800 BLOCK JACKSON AVE, TAYLOR, MI",TAYLOR,MI,
"13500 BLOCK HURON AVE, TAYLOR, MI",TAYLOR,MI,
"10900 BLOCK WILLIAM ST, TAYLOR, MI",TAYLOR,MI,
"12600 BLOCK HIPP AVE, TAYLOR, MI",TAYLOR,MI,
"11100 BLOCK POLK AVE, TAYLOR, MI",TAYLOR,MI,
"22100 BLOCK CENTURY DR, TAYLOR, MI",TAYLOR,MI,
"11000 BLOCK ALLEN RD, TAYLOR, MI",TAYLOR,MI,
"11000 BLOCK ALLEN RD, TAYLOR, MI",TAYLOR,MI,
"21100 BLOCK PENN AVE, TAYLOR, MI",TAYLOR,MI,
"EUREKA RD&HURON AVE, TAYLOR, MI",TAYLOR,MI,
"NORTHLINE RD&PARDEE RD, TAYLOR, MI",TAYLOR,MI,
"14000 BLOCK HURON AVE, TAYLOR, MI",TAYLOR,MI,
"PARDEE RD&CLINTON AVE, TAYLOR, MI",TAYLOR,MI,
"12100 BLOCK PARDEE RD, TAYLOR, MI",TAYLOR,MI,
"12600 BLOCK WEDDEL AVE, TAYLOR, MI",TAYLOR,MI,
"21200 BLOCK EUREKA RD, TAYLOR, MI",TAYLOR,MI,
"10200 BLOCK N ISLAND LAKES, TAYLOR, MI",TAYLOR,MI,
"11700 BLOCK MCKINLEY AVE, TAYLOR, MI",TAYLOR,MI,
"12500 BLOCK HIPP AVE, TAYLOR, MI",TAYLOR,MI,
"EUREKA RD&SEAWAY DR, TAYLOR, MI",TAYLOR,MI,
"12200 BLOCK WOODCREST ST, TAYLOR, MI",TAYLOR,MI,
"21200 BLOCK EUREKA RD, TAYLOR, MI",TAYLOR,MI,
"NORTHLINE RD&JACKSON AVE, TAYLOR, MI",TAYLOR,MI,
"11800 BLOCK POLK AVE, TAYLOR, MI",TAYLOR,MI,
"21200 BLOCK EUREKA RD, TAYLOR, MI",TAYLOR,MI,
"12100 BLOCK PARDEE RD, TAYLOR, MI",TAYLOR,MI,
"11200 BLOCK ZIEGLER AVE, TAYLOR, MI",TAYLOR,MI,
"MCKINLEY AVE&MAPLELAWN AVE, TAYLOR, MI",TAYLOR,MI,
"22600 BLOCK GODDARD, TAYLOR, MI",TAYLOR,MI,
"14500 BLOCK RACHO RD, TAYLOR, MI",TAYLOR,MI,
"12100 BLOCK PARDEE RD, TAYLOR, MI",TAYLOR,MI,
"11400 BLOCK POLK AVE, TAYLOR, MI",TAYLOR,MI,
"11400 BLOCK WILLIAM ST, TAYLOR, MI",TAYLOR,MI,
"14100 BLOCK ALLEN RD, TAYLOR, MI",TAYLOR,MI,
"8800 BLOCK PARKWOOD DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"TYLER/HANNAN, ROMULUS, MI",ROMULUS,MI,"$63,854"
"9900 BLOCK LANCASTER DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"41400 BLOCK S BELLRIDGE DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"41100 BLOCK S I94 SERVICE DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"42000 BLOCK ECORSE RD, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"40700 BLOCK ALDEN AVE, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"10900 BLOCK LIGHTHOUSE DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"9700 BLOCK ANDOVER DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"41500 BLOCK MCBRIDE AVE, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"ECORSE & HAGGERTY, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"HOYT HALL, Ypsilanti, MI",Ypsilanti,MI,"$41,914"
"9200 BLOCK PARKWOOD DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"8800 BLOCK HARDWOOD DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"42200 BLOCK MCBRIDE AVE, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"41500 BLOCK S BELLRIDGE DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"11100 BLOCK LIGHTHOUSE DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"8900 BLOCK PARKWOOD DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"10800 BLOCK LIGHTHOUSE DR, VAN BUREN TWP, MI",VAN BUREN TWP,MI,
"POE ST & W GRAND BLVD, Detroit, MI",Detroit,MI,
"LOTHROP RD & 2ND AVE, Detroit, MI",Detroit,MI,
"W HANCOCK ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"SEVILLE ROW & W BETHUNE ST, Detroit, MI",Detroit,MI,
"SAINT ANTOINE ST & BEAUBIEN ST, Detroit, MI",Detroit,MI,
"JOHN R ST & HORTON ST, Detroit, MI",Detroit,MI,
"W FOREST AVE & S M 10 SERVICE DRIVE, Detroit, MI",Detroit,MI,
"PETERBORO ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"BRUSH ST & E WARREN AVE, Detroit, MI",Detroit,MI,
"W FERRY ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"MARSTON ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"HOLDEN ST & 4TH AVE, Detroit, MI",Detroit,MI,
"N M 10 SERVICE DRIVE & W GRAND BLVD, Detroit, MI",Detroit,MI,
"N M 10 SERVICE DRIVE & W GRAND BLVD, Detroit, MI",Detroit,MI,
"CASS AVE & BRAINARD ST, Detroit, MI",Detroit,MI,
"2ND AVE & SEWARD ST, Detroit, MI",Detroit,MI,
"WOODWARD AVE & DELAWARE ST, Detroit, MI",Detroit,MI,
"BRUSH ST & PIQUETTE ST, Detroit, MI",Detroit,MI,
"W HANCOCK ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"GRAND RIVER AVE & AVERY ST, Detroit, MI",Detroit,MI,
"3RD ST & W CANFIELD ST, Detroit, MI",Detroit,MI,
"MARTIN LUTHER KING JR BLVD & WOODWARD AVE, Detroit, MI",Detroit,MI,
"CASS AVE & W FOREST AVE, Detroit, MI",Detroit,MI,
"SAINT ANTOINE ST & BEAUBIEN ST, Detroit, MI",Detroit,MI,
"E WARREN AVE & S I 75 SERVICE DRIVE, Detroit, MI",Detroit,MI,
"ELIJAH MCCOY DR & LINCOLN ST, Detroit, MI",Detroit,MI,
"W WARREN AVE & TRUMBULL ST, Detroit, MI",Detroit,MI,
"WOODWARD AVE & W STIMSON ST, Detroit, MI",Detroit,MI,
"E ALEXANDRINE ST & W ALEXANDRINE ST, Detroit, MI",Detroit,MI,
"W GRAND BLVD & LINCOLN ST, Detroit, MI",Detroit,MI,
"WATSON ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"3RD ST & BRAINARD ST, Detroit, MI",Detroit,MI,
"BRUSH ST & LANIER ST, Detroit, MI",Detroit,MI,
"SAINT ANTOINE ST & E WARREN AVE, Detroit, MI",Detroit,MI,
"WOODWARD AVE & GARFIELD ST, Detroit, MI",Detroit,MI,
"S M 10 SERVICE DRIVE & GRAND RIVER AVE, Detroit, MI",Detroit,MI,
"S M 10 SERVICE DRIVE & W KIRBY ST, Detroit, MI",Detroit,MI,
"WOODWARD AVE & W WILLIS ST, Detroit, MI",Detroit,MI,
"CASS AVE & W GRAND BLVD, Detroit, MI",Detroit,MI,
"E BALTIMORE ST & BRUSH ST, Detroit, MI",Detroit,MI,
"DAVENPORT ST & CASS AVE, Detroit, MI",Detroit,MI,
"W HANCOCK ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"W ALEXANDRINE ST & 3RD ST, Detroit, MI",Detroit,MI,
"MERRICK ST & S M 10 SERVICE DRIVE, Detroit, MI",Detroit,MI,
"N M 10 SERVICE DRIVE & TEMPLE ST, Detroit, MI",Detroit,MI,
"2ND AVE & BRAINARD ST, Detroit, MI",Detroit,MI,
"W KIRBY ST & WOODWARD AVE, Detroit, MI",Detroit,MI,
"17200 BLOCK NEWBURGH RD, LIVONIA, MI",LIVONIA,MI,"$92,458"
"19500 BLOCK VICTOR PKWY, LIVONIA, MI",LIVONIA,MI,"$92,458"
"19000 BLOCK ST JOES PKWY, LIVONIA, MI",LIVONIA,MI,"$92,458"
"17100 BLOCK N LAUREL PARK DR, LIVONIA, MI",LIVONIA,MI,"$92,458"
"16000 BLOCK HOUGHTON, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37600 BLOCK SIXMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"17500 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"17100 BLOCK N LAUREL PARK DR, LIVONIA, MI",LIVONIA,MI,"$92,458"
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"16900 BLOCK S LAUREL PARK DR, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37700 BLOCK SIXMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"17200 BLOCK FOX DR, LIVONIA, MI",LIVONIA,MI,"$92,458"
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"37600 BLOCK SIXMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37600 BLOCK SIXMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"19700 BLOCK HAGGERTY RD, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37600 BLOCK NORTH LAUREL PARK, LIVONIA, MI",LIVONIA,MI,"$92,458"
"16900 BLOCK ABBY CIR, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"16000 BLOCK HOUGHTON, LIVONIA, MI",LIVONIA,MI,"$92,458"
"NORTHVILLE HEALTH CENTER 39901 TRADITIONS DR, Ann Arbor, MI",Ann Arbor,MI,"$78,546"
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"17600 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"18400 BLOCK UNIVERSITY PARK DR, LIVONIA, MI",LIVONIA,MI,"$92,458"
"20000 BLOCK HAGGERTY RD, LIVONIA, MI",LIVONIA,MI,"$92,458"
"NORTHVILLE HEALTH CENTER 39901 TRADITIONS DR, Ann Arbor, MI",Ann Arbor,MI,"$78,546"
"20100 BLOCK HAGGERTY, LIVONIA, MI",LIVONIA,MI,"$92,458"
"17100 BLOCK N LAUREL PARK DR, LIVONIA, MI",LIVONIA,MI,"$92,458"
"I275&EIGHTMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37300 BLOCK SIXMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"19300 BLOCK HAGGERTY RD, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37500 BLOCK PEMBROKE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"19300 BLOCK HAGGERTY RD, LIVONIA, MI",LIVONIA,MI,"$92,458"
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"16900 BLOCK ABBY CIR, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"SEVENMILE&I275, LIVONIA, MI",LIVONIA,MI,"$92,458"
"37300 BLOCK SEVENMILE, LIVONIA, MI",LIVONIA,MI,"$92,458"
"17900 BLOCK CROSS RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"16900 BLOCK ABBY CIR, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"20400 BLOCK HAGGERTY RD, NORTHVILLE TWP, MI",NORTHVILLE TWP,MI,
"19700 BLOCK HAGGERTY RD, LIVONIA, MI",LIVONIA,MI,"$92,458"
"19500 BLOCK VICTOR PKWY, LIVONIA, MI",LIVONIA,MI,"$92,458"
"4600 BLOCK OF RIDGEWAY CIR, Kalamazoo, MI",Kalamazoo,MI,
"4400 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF LILAC LN, Kalamazoo, MI",Kalamazoo,MI,
"4100 BLOCK OF JODY LN, Kalamazoo, MI",Kalamazoo,MI,
"4400 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"2200 BLOCK OF SYCAMORE LN, Kalamazoo, MI",Kalamazoo,MI,
"4100 BLOCK OF LAKESEDGE DR, Kalamazoo, MI",Kalamazoo,MI,
"4700 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF LILAC LN, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"2200 BLOCK OF SYCAMORE LN, Kalamazoo, MI",Kalamazoo,MI,
"4300 BLOCK OF RIDGEWAY CIR, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF EVENTIDE AV, Kalamazoo, MI",Kalamazoo,MI,
"4200 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"4100 BLOCK OF LAKESEDGE DR, Kalamazoo, MI",Kalamazoo,MI,
"2200 BLOCK OF SYCAMORE LN, Kalamazoo, MI",Kalamazoo,MI,
"3700 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF LILAC LN, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF RIDGEWAY CIR, Kalamazoo, MI",Kalamazoo,MI,
"4600 BLOCK OF RIDGEWAY CIR, Kalamazoo, MI",Kalamazoo,MI,
"4600 BLOCK OF RIDGEWAY CIR, Kalamazoo, MI",Kalamazoo,MI,
"3600 BLOCK OF WOODCLIFF DR, Kalamazoo, MI",Kalamazoo,MI,
"3400 BLOCK OF WOODSTONE DR, Kalamazoo, MI",Kalamazoo,MI,
"1800 BLOCK OF BILLY CT, Kalamazoo, MI",Kalamazoo,MI,
"4100 BLOCK OF LAKESEDGE DR, Kalamazoo, MI",Kalamazoo,MI,
"4300 BLOCK OF DEBBIE LN, Kalamazoo, MI",Kalamazoo,MI,
"4400 BLOCK OF LILAC LN, Kalamazoo, MI",Kalamazoo,MI,
"3800 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"4600 BLOCK OF RIDGEWAY CIR, Kalamazoo, MI",Kalamazoo,MI,
"4100 BLOCK OF NANCY LN, Kalamazoo, MI",Kalamazoo,MI,
"3700 BLOCK OF GREENLEAF CIR, Kalamazoo, MI",Kalamazoo,MI,
"3700 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"3600 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"3700 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
"4500 BLOCK OF STADIUM DR, Kalamazoo, MI",Kalamazoo,MI,
